family,number,id,name,description,type,status,placeholder_values,profile_notes,page
SC,28(02),sc-28.2,Protection of information at rest,"Protection of information at rest: Offline storage
Remove the following information from online storage and store offline in a secure location: [Assignment: organization-
defined information].",Control,Not selected,NA,NA,131
SC,28(03),sc-28.3,Protection of information at rest,"Protection of information at rest: Cryptographic keys
Provide protected storage for cryptographic keys [Selection (one): [Assignment: organization-defined safeguards];
hardware-protected key store].",Control,Not selected,NA,NA,131
SC,29,sc-29,Heterogeneity,"Employ a diverse set of information technologies for the following system components in the implementation of the
system: [Assignment: organization-defined system components].",Control,Selected,"[cyber security devices
and tools]","In order to protect PBMM
against Td4 compromise
using a single unknown
system flaw (a 0-Day),
disaggregate the business
functions between
systems that do not share
a single-point-of-failure.
For example, host one
line-of-business database
in Windows, and a
different line-of-business
database in Linux.",131
SC,29(01),sc-29.1,Heterogeneity,"Heterogeneity: Virtualization techniques
Employ virtualization techniques to support the deployment of a diversity of operating systems and applications that are
changed [Assignment: organization-defined frequency].",Control,Not selected,NA,NA,131
SC,30,sc-30,Concealment and misdirection,"Employ the following concealment and misdirection techniques for [Assignment: organization-defined systems] at
[Assignment: organization-defined time periods] to confuse and mislead adversaries: [Assignment: organization-defined
concealment and misdirection techniques].",Control,Not selected,NA,NA,131
SC,30(01),sc-30.1,Concealment and misdirection,"Concealment and misdirection: Virtualization techniques
Withdrawn: Incorporated into SC-29(01).",NA,NA,NA,NA,131
SC,30(02),sc-30.2,Concealment and misdirection,"Concealment and misdirection: Randomness
Employ [Assignment: organization-defined techniques] to introduce randomness into organizational operations and
assets.",Control,Not selected,NA,NA,132
SC,30(03),sc-30.3,Concealment and misdirection,"Concealment and misdirection: Change processing and storage locations
Change the location of [Assignment: organization-defined processing and/or storage] [Selection (one): [Assignment:
organization-defined time frequency]; at random time intervals]].",Control,Not selected,NA,NA,132
SC,30(04),sc-30.4,Concealment and misdirection,"Concealment and misdirection: Misleading information
Employ realistic, but misleading information in [Assignment: organization-defined system components] about its security
state or posture.",Control,Not selected,NA,NA,132
SC,30(05),sc-30.5,Concealment and misdirection,"Concealment and misdirection: Concealment of system components
Employ the following techniques to hide or conceal [Assignment: organization-defined system components]: [Assignment:
organization-defined techniques].",Control,Not selected,NA,NA,132
SC,31,sc-31,Covert channel analysis,"A. Perform a covert channel analysis to identify those aspects of communications within the system that are potential
avenues for covert [Selection (one or more): storage; timing] channels.
B. Estimate the maximum bandwidth of those channels.",Control,Not selected,NA,NA,132
SC,31(01),sc-31.1,Covert channel analysis,"Covert channel analysis: Test covert channels for exploitability
Test a subset of the identified covert channels to determine the channels that are exploitable.",Control,Not selected,NA,NA,132
SC,31(02),sc-31.2,Covert channel analysis,"Covert channel analysis: Maximum bandwidth
Reduce the maximum bandwidth for identified covert [Selection (one or more): storage; timing] channels to [Assignment:
organization-defined values].",Control,Not selected,NA,NA,132
SC,31(03),sc-31.3,Covert channel analysis,"Covert channel analysis: Measure bandwidth in operational environments
Measure the bandwidth of [Assignment: organization-defined subset of identified covert channels] in the operational
environment of the system.",Control,Not selected,NA,NA,132
SC,32,sc-32,System partitioning,"Partition the system into [Assignment: organization-defined system components] residing in separate [Selection (one):
physical; logical] domains or environments based on [Assignment: organization-defined circumstances for physical or
logical separation of components].",Control,Not selected,NA,NA,132
SC,32(01),sc-32.1,System partitioning,"System partitioning: Separate physical domains for privileged functions
Partition privileged functions into separate physical domains.",Control,Not selected,NA,NA,132
SC,33,sc-33,Transmission preparation integrity,Withdrawn: Incorporated into SC-08.,NA,NA,NA,NA,132
SC,34,sc-34,Non-modifiable executable programs,"For [Assignment: organization-defined system components], load and execute:
A. the operating environment from hardware-enforced, read-only media
B. the following applications from hardware-enforced, read-only media: [Assignment: organization-defined applications]",Control,Not selected,NA,NA,132
SC,34(01),sc-34.1,Non-modifiable executable programs,"Non-modifiable executable programs: No writable storage
Employ [Assignment: organization-defined system components] with no writeable storage that is persistent across
component restart or power on/off.",Control,Not selected,NA,NA,133
SC,34(02),sc-34.2,Non-modifiable executable programs,"Non-modifiable executable programs: Integrity protection and read-only media
Protect the integrity of information prior to storage on read-only media and control the media after such information has
been recorded onto the media.",Control,Not selected,NA,NA,133
SC,34(03),sc-34.3,Non-modifiable executable programs,"Non-modifiable executable programs: Hardware-based protection
Withdrawn: Moved to SC-51.",NA,NA,NA,NA,133
SC,35,sc-35,External malicious code identification,Include system components that proactively seek to identify network-based malicious code or malicious websites.,Control,Not selected,NA,NA,133
