id,label,family,title,source,cccs_type,status,statement,parameter_values,gc_discussion,profile_note
ca-2,CA-2,CA,Control assessments,NIST SP 800-53 Rev. 5.2.0,activity,,"A. Select the appropriate assessor or assessment team for the type of assessment to be conducted
B. Develop a control assessment plan that describes the scope of the assessment including
1. controls and control enhancements under assessment
2. assessment procedures to be used to determine control effectiveness
3. assessment environment, assessment team, and assessment roles and responsibilities
   C. Ensure the control assessment plan is reviewed and approved by the authorizing official or designated representative prior to conducting the assessment
   D. Assess the controls in the system and its environment of operation [Assignment: organization-defined frequency] to determine the extent to which the controls are implemented correctly, operating as intended, and producing the desired outcome with respect to meeting established security and privacy requirements
   E. Produce a control assessment report that documents the results of the assessment
   F. Provide the results of the control assessment to [Assignment: organization-defined individuals or roles]",,"If the system will create, collect, or store personal information, consider the completion of a Privacy Protocol or PIA, following the CORE PIA requirements as established in the TBS Directive on Privacy Practices, Appendix C: Standard on Privacy Impact Assessment. When the PIA or Privacy Protocol is approved, a summary must be posted on the institution’s external facing web presence.

TBS requirements for periodic assessments of controls are in the Directive on Security Management: Appendix B: Mandatory Procedures for Information Technology Security Control.",
ca-2.1,CA-2(1),CA,Independent assessors,NIST SP 800-53 Rev. 5.2.0,activity,,Employ independent assessors or assessment teams to conduct control assessments.,,,
ca-2.2,CA-2(2),CA,Specialized assessments,NIST SP 800-53 Rev. 5.2.0,activity,,"Include as part of control assessments, [Assignment: organization-defined frequency], [Selection (1): announced; unannounced], [Selection (1 or more): in-depth monitoring; security instrumentation; automated security test cases; vulnerability scanning; malicious user testing; insider threat assessment; performance and load testing; data leakage or data loss assessment; [Assignment: organization-defined other forms of assessment]].",,,
ca-2.3,CA-2(3),CA,Leveraging results from external organizations,NIST SP 800-53 Rev. 5.2.0,activity,,Leverage the results of control assessments performed by [Assignment: organization-defined external organization(s)] on [Assignment: organization-defined system] when the assessment meets [Assignment: organization-defined requirements].,,"The TBS Directive on Privacy Practices, Appendix C: Standard on Privacy Impact Assessment requires sharing copies of the approved PIA and other relevant documentation with partners or other government institutions as required and in a manner that respects security requirements and any other confidentiality or legal consideration.",
ca-3,CA-3,CA,Information exchange,NIST SP 800-53 Rev. 5.2.0,control,,"A. Approve and manage the exchange of information between the system and other systems using [Selection (1 or more): interconnection security agreements; information exchange security agreements; memoranda of understanding or agreement; information sharing agreements; information sharing arrangements; service level agreements; user agreements; non-disclosure agreements; [Assignment: organization-defined type of agreement]]
B. Document, as part of each exchange agreement, the interface characteristics, security and privacy requirements, controls, and responsibilities for each system, and the impact level of the information communicated
C. Review and update the agreements [Assignment: organization-defined frequency]",,,
ca-3.1,CA-3(1),CA,Unclassified National Security System Connections,NIST SP 800-53 Rev. 5.2.0,,withdrawn,,,,
ca-3.2,CA-3(2),CA,Classified National Security System Connections,NIST SP 800-53 Rev. 5.2.0,,withdrawn,,,,
ca-3.3,CA-3(3),CA,Unclassified Non-national Security System Connections,NIST SP 800-53 Rev. 5.2.0,,withdrawn,,,,
ca-3.4,CA-3(4),CA,Connections to Public Networks,NIST SP 800-53 Rev. 5.2.0,,withdrawn,,,,
ca-3.5,CA-3(5),CA,Restrictions on External System Connections,NIST SP 800-53 Rev. 5.2.0,,withdrawn,,,,
ca-3.6,CA-3(6),CA,Transfer authorizations,NIST SP 800-53 Rev. 5.2.0,control,,"Verify that individuals or systems transferring data between interconnecting systems have the requisite authorizations (i.e., write permissions or privileges) prior to accepting such data.",,,
ca-3.7,CA-3(7),CA,Transitive information exchanges,NIST SP 800-53 Rev. 5.2.0,control,,"a. Identify transitive (downstream) information exchanges with other systems through the systems identified in CA-03A
b. Take measures to ensure that transitive (downstream) information exchanges cease when the controls on identified transitive (downstream) systems cannot be verified or validated",,,
ca-4,CA-4,CA,Security Certification,NIST SP 800-53 Rev. 5.2.0,,withdrawn,,,,
ca-5,CA-5,CA,Plan of action and milestones,NIST SP 800-53 Rev. 5.2.0,activity,,"A. Develop a plan of action and milestones for the system to document the planned remediation actions of the organization to correct weaknesses or deficiencies noted during the assessment of the controls and to reduce or eliminate known vulnerabilities in the system
B. Update existing plan of action and milestones [Assignment: organization-defined frequency] based on the findings from control assessments, independent audits or reviews, and continuous monitoring activities",,Plans of action and milestones are required in authorization packages and subject to federal reporting requirements established by TBS.,
ca-5.1,CA-5(1),CA,Automation support for accuracy and currency,NIST SP 800-53 Rev. 5.2.0,activity,,"Ensure the accuracy, currency, and availability of the plan of action and milestones for the system using [Assignment: organization-defined automated mechanisms].",,,
ca-6,CA-6,CA,Authorization,NIST SP 800-53 Rev. 5.2.0,control,,"A. Assign a senior official as the authorizing official or custodian for the system
B. Assign a senior official as the authorizing official or custodian for common controls available for inheritance by organizational systems
C. Ensure that the authorizing official or custodian for the system, before commencing operations
1. accepts the use of common controls inherited by the system
2. authorizes the system to operate
   D. Ensure that the authorizing official or custodian for common controls authorizes the use of those controls for inheritance by organizational systems
   E. Update the authorizations [Assignment: organization-defined frequency]",,"The authorization process is a federal government responsibility, and therefore, authorizing officials must be senior GC employees.",
ca-6.1,CA-6(1),CA,Joint authorization — intra-organization,NIST SP 800-53 Rev. 5.2.0,control,,Employ a joint authorization process for the system that includes multiple authorizing officials from the same organization conducting the authorization.,,,
ca-6.2,CA-6(2),CA,Joint Authorization — inter-organization,NIST SP 800-53 Rev. 5.2.0,control,,Employ a joint authorization process for the system that includes multiple authorizing officials with at least 1 authorizing official from an organization external to the organization conducting the authorization.,,,
ca-7,CA-7,CA,Continuous monitoring,NIST SP 800-53 Rev. 5.2.0,control,,"Develop a system-level continuous monitoring strategy and implement continuous monitoring in accordance with the organization-level continuous monitoring strategy that includes:
A. establishing the following system-level metrics to be monitored: [Assignment: organization-defined system-level metrics]
B. establishing [Assignment: organization-defined frequencies] for monitoring and [Assignment: organization-defined frequencies] for assessment of control effectiveness
C. ongoing control assessments in accordance with the continuous monitoring strategy
D. ongoing monitoring of system and organization-defined metrics in accordance with the continuous monitoring strategy
E. correlation and analysis of information generated by control assessments and monitoring
F. response actions to address results of the analysis of control assessment and monitoring information
G. reporting the security and privacy status of the system to [Assignment: organization-defined personnel or roles] [Assignment: organization-defined frequency]",,,
ca-7.1,CA-7(1),CA,Independent assessment,NIST SP 800-53 Rev. 5.2.0,control,,Employ independent assessors or assessment teams to monitor the controls in the system on an ongoing basis.,,,
ca-7.2,CA-7(2),CA,Types of Assessments,NIST SP 800-53 Rev. 5.2.0,,withdrawn,,,,
